task_id,task_type,zone,volume_m3,estimated_buckets,weather,operator_id,operator_skill,machine_id,machine_age,estimated_time_min,actual_time_min,start_time
T056,grading,zone_b,86.6,58,clear,OP1003,expert,EXC002,7.7,29.0,30.4,2026-06-02 10:19:16.999489
T057,grading,zone_b,127.4,85,cloudy,OP1010,intermediate,EXC002,7.7,43.8,53.0,2026-06-02 11:02:56.947366
T058,excavation,zone_b,89.2,60,rain,OP1008,expert,EXC002,7.7,35.3,38.4,2026-06-02 12:07:01.347139
T059,trenching,zone_c,93.3,63,clear,OP1019,expert,EXC003,7.2,31.5,35.6,2026-06-02 07:00:00.000000
T060,trenching,zone_c,83.6,56,clear,OP1001,expert,EXC003,7.2,28.0,32.2,2026-06-02 07:41:32.185683
T061,trenching,zone_c,60.0,40,clear,OP1019,expert,EXC003,7.2,20.0,24.1,2026-06-02 08:22:42.548054
T062,loading,zone_c,79.9,54,clear,OP1006,expert,EXC003,7.2,27.0,52.8,2026-06-02 08:54:15.718268
T063,hauling,zone_c,53.5,36,clear,OP1005,novice,EXC003,7.2,18.0,62.0,2026-06-02 09:57:27.278445
T064,excavation,zone_d,183.7,123,clear,OP1016,novice,EXC004,8.0,61.5,71.9,2026-06-02 07:00:00.000000
T065,hauling,zone_d,77.1,52,clear,OP1010,intermediate,EXC004,8.0,26.0,63.3,2026-06-02 08:22:33.019522
T066,loading,zone_d,58.8,40,clear,OP1011,intermediate,EXC004,8.0,20.0,54.6,2026-06-02 09:32:25.373997
T067,hauling,zone_d,85.0,57,clear,OP1005,novice,EXC004,8.0,28.5,60.9,2026-06-02 10:35:04.465756
T068,hauling,zone_d,79.5,53,cloudy,OP1012,expert,EXC004,8.0,27.3,65.2,2026-06-02 11:41:36.584917
T069,excavation,zone_d,192.1,129,rain,OP1011,intermediate,EXC004,8.0,75.8,75.1,2026-06-02 12:56:23.196265
T070,trenching,zone_d,64.1,43,clear,OP1017,intermediate,EXC004,8.0,21.5,30.1,2026-06-02 14:20:15.249063
T071,grading,zone_d,93.7,63,clear,OP1004,intermediate,EXC004,8.0,31.5,41.1,2026-06-02 15:02:17.314394
T072,hauling,zone_a,40.5,27,clear,OP1007,expert,EXC005,1.5,13.5,42.1,2026-06-02 07:00:00.000000
T073,trenching,zone_a,91.5,61,clear,OP1005,novice,EXC005,1.5,30.5,60.5,2026-06-02 07:53:41.480060
T074,trenching,zone_a,52.7,36,clear,OP1015,intermediate,EXC005,1.5,18.0,22.9,2026-06-02 09:08:54.493886
T075,excavation,zone_a,142.5,95,clear,OP1005,novice,EXC005,1.5,47.5,80.4,2026-06-02 09:44:15.245649
T076,hauling,zone_a,72.3,49,cloudy,OP1020,intermediate,EXC005,1.5,25.2,62.0,2026-06-02 11:13:56.228955
T077,hauling,zone_a,51.6,35,rain,OP1010,intermediate,EXC005,1.5,20.6,47.1,2026-06-02 12:30:24.591599
T078,grading,zone_a,131.2,88,rain,OP1006,expert,EXC005,1.5,51.2,52.2,2026-06-02 13:25:54.667935
T079,excavation,zone_b,178.6,120,clear,OP1001,expert,EXC006,5.3,60.0,60.4,2026-06-02 07:00:00.000000
T080,loading,zone_b,75.1,51,clear,OP1002,intermediate,EXC006,5.3,25.5,48.6,2026-06-02 08:12:06.781910
T081,grading,zone_b,143.7,96,clear,OP1018,novice,EXC006,5.3,48.0,69.7,2026-06-02 09:15:01.548737
T082,loading,zone_b,117.3,79,clear,OP1020,intermediate,EXC006,5.3,39.5,56.4,2026-06-02 10:34:54.499255
T083,grading,zone_b,99.0,66,cloudy,OP1015,intermediate,EXC006,5.3,34.0,43.3,2026-06-02 11:36:58.581513
T084,hauling,zone_b,36.6,25,rain,OP1002,intermediate,EXC006,5.3,14.6,52.5,2026-06-02 12:34:53.868945
T085,loading,zone_b,60.9,41,rain,OP1007,expert,EXC006,5.3,23.8,61.2,2026-06-02 13:40:08.083024
T086,hauling,zone_b,48.6,33,clear,OP1011,intermediate,EXC006,5.3,16.5,59.1,2026-06-02 14:55:15.752758
T087,hauling,zone_c,80.8,54,clear,OP1008,expert,EXC007,1.0,27.0,45.0,2026-06-02 07:00:00.000000
T088,grading,zone_c,74.4,50,clear,OP1016,novice,EXC007,1.0,25.0,33.0,2026-06-02 07:58:21.316142
T089,hauling,zone_c,61.4,41,clear,OP1006,expert,EXC007,1.0,20.5,50.0,2026-06-02 08:45:43.954721
T090,trenching,zone_c,69.5,47,clear,OP1009,novice,EXC007,1.0,23.5,36.5,2026-06-02 09:48:29.228151
T091,hauling,zone_c,76.0,51,clear,OP1005,novice,EXC007,1.0,25.5,73.9,2026-06-02 10:31:02.717682
T092,hauling,zone_c,43.1,29,cloudy,OP1008,expert,EXC007,1.0,14.9,50.9,2026-06-02 11:54:51.845727
T093,loading,zone_c,110.7,74,rain,OP1016,novice,EXC007,1.0,42.8,81.2,2026-06-02 12:57:14.339153
T094,hauling,zone_c,65.4,44,clear,OP1011,intermediate,EXC007,1.0,22.0,58.4,2026-06-02 14:29:20.586057
T095,grading,zone_d,72.5,49,clear,OP1003,expert,EXC008,6.2,24.5,25.9,2026-06-02 07:00:00.000000
T096,excavation,zone_d,82.5,55,clear,OP1005,novice,EXC008,6.2,27.5,52.4,2026-06-02 07:36:53.853029
T097,trenching,zone_d,61.0,41,clear,OP1019,expert,EXC008,6.2,20.5,24.0,2026-06-02 08:41:52.132441
T098,loading,zone_d,65.5,44,clear,OP1013,intermediate,EXC008,6.2,22.0,66.9,2026-06-02 09:11:21.933207
T099,excavation,zone_d,85.0,57,clear,OP1002,intermediate,EXC008,6.2,28.5,33.5,2026-06-02 10:27:24.952245
T100,excavation,zone_a,205.7,138,clear,OP1017,intermediate,EXC001,5.5,69.0,77.2,2026-06-03 07:00:00.000000
T101,hauling,zone_a,30.3,21,clear,OP1002,intermediate,EXC001,5.5,10.5,47.4,2026-06-03 08:22:43.950401
T102,grading,zone_a,60.3,41,rain,OP1007,expert,EXC001,5.5,23.9,30.8,2026-06-03 09:18:08.978616
T103,loading,zone_a,95.7,64,clear,OP1013,intermediate,EXC001,5.5,32.6,62.0,2026-06-03 10:02:25.129220
T104,excavation,zone_a,80.5,54,cloudy,OP1016,novice,EXC001,5.5,27.8,35.2,2026-06-03 11:13:21.006668
T105,grading,zone_b,107.5,72,clear,OP1017,intermediate,EXC002,7.7,36.0,44.2,2026-06-03 07:00:00.000000
T106,hauling,zone_b,37.1,25,clear,OP1012,expert,EXC002,7.7,12.5,43.1,2026-06-03 07:51:15.745663
T107,trenching,zone_b,118.8,80,clear,OP1010,intermediate,EXC002,7.7,40.0,51.9,2026-06-03 08:42:27.745513
T108,grading,zone_b,120.6,81,rain,OP1014,expert,EXC002,7.7,47.0,55.6,2026-06-03 09:46:45.800308
T109,hauling,zone_b,43.0,29,clear,OP1017,intermediate,EXC002,7.7,14.8,50.9,2026-06-03 10:55:12.413816
T110,hauling,zone_b,73.9,50,cloudy,OP1001,expert,EXC002,7.7,25.8,46.8,2026-06-03 11:58:31.337399
T111,loading,zone_c,115.3,77,clear,OP1015,intermediate,EXC003,7.2,38.5,59.9,2026-06-03 07:00:00.000000
T112,excavation,zone_c,124.6,84,clear,OP1003,expert,EXC003,7.2,42.0,41.8,2026-06-03 08:12:36.019730
T113,excavation,zone_c,134.9,90,rain,OP1004,intermediate,EXC003,7.2,52.3,60.4,2026-06-03 09:09:18.024662
T114,loading,zone_c,44.5,30,clear,OP1019,expert,EXC003,7.2,15.2,37.9,2026-06-03 10:16:13.081042
T115,excavation,zone_c,104.4,70,cloudy,OP1003,expert,EXC003,7.2,36.1,33.9,2026-06-03 11:03:01.083214
T116,trenching,zone_d,90.0,60,clear,OP1018,novice,EXC004,8.0,30.0,41.9,2026-06-03 07:00:00.000000
T117,loading,zone_d,115.5,77,clear,OP1019,expert,EXC004,8.0,38.5,68.8,2026-06-03 07:54:15.327061
T118,trenching,zone_d,90.3,61,rain,OP1001,expert,EXC004,8.0,35.4,37.9,2026-06-03 09:10:23.549860
T119,excavation,zone_d,132.5,89,rain,OP1009,novice,EXC004,8.0,52.2,69.0,2026-06-03 09:57:03.283504
T120,trenching,zone_d,52.6,36,cloudy,OP1016,novice,EXC004,8.0,18.5,29.5,2026-06-03 11:13:12.621355
T121,grading,zone_a,136.9,92,clear,OP1020,intermediate,EXC005,1.5,46.0,48.1,2026-06-03 07:00:00.000000
T122,hauling,zone_a,51.0,34,clear,OP1004,intermediate,EXC005,1.5,17.0,46.0,2026-06-03 08:00:33.685068
T123,hauling,zone_a,71.0,48,clear,OP1005,novice,EXC005,1.5,24.0,86.4,2026-06-03 08:54:41.965404
T124,hauling,zone_a,47.5,32,clear,OP1005,novice,EXC005,1.5,16.3,75.4,2026-06-03 10:31:51.067614
T125,excavation,zone_a,125.6,84,cloudy,OP1003,expert,EXC005,1.5,43.3,40.1,2026-06-03 11:53:32.011624
T126,loading,zone_a,116.2,78,cloudy,OP1011,intermediate,EXC005,1.5,40.2,65.7,2026-06-03 12:40:42.071662
T127,trenching,zone_b,117.9,79,clear,OP1018,novice,EXC006,5.3,39.5,60.7,2026-06-03 07:00:00.000000
T128,loading,zone_b,64.0,43,clear,OP1010,intermediate,EXC006,5.3,21.5,53.3,2026-06-03 08:11:02.748880
T129,trenching,zone_b,105.2,71,rain,OP1017,intermediate,EXC006,5.3,41.9,46.5,2026-06-03 09:11:39.920560
T130,excavation,zone_b,195.8,131,clear,OP1018,novice,EXC006,5.3,66.5,95.7,2026-06-03 10:03:11.294282
T131,grading,zone_b,102.0,68,cloudy,OP1003,expert,EXC006,5.3,35.0,34.7,2026-06-03 11:45:43.839968
T132,trenching,zone_b,108.1,73,cloudy,OP1017,intermediate,EXC006,5.3,37.6,44.5,2026-06-03 12:30:47.718133
T133,excavation,zone_c,111.6,75,clear,OP1013,intermediate,EXC007,1.0,37.5,46.7,2026-06-03 07:00:00.000000
T134,excavation,zone_c,121.5,81,clear,OP1010,intermediate,EXC007,1.0,40.5,49.0,2026-06-03 07:59:28.813363
T135,trenching,zone_c,124.9,84,clear,OP1016,novice,EXC007,1.0,42.0,56.7,2026-06-03 08:53:50.533176
T136,loading,zone_c,66.1,45,rain,OP1018,novice,EXC007,1.0,26.3,49.5,2026-06-03 09:58:51.020971
T137,trenching,zone_c,115.9,78,clear,OP1004,intermediate,EXC007,1.0,39.8,46.0,2026-06-03 10:55:13.929702
T138,excavation,zone_c,117.3,79,cloudy,OP1010,intermediate,EXC007,1.0,40.7,51.4,2026-06-03 11:56:00.539531
T139,hauling,zone_c,50.6,34,cloudy,OP1009,novice,EXC007,1.0,17.5,38.0,2026-06-03 12:55:39.027140
T140,trenching,zone_c,82.5,55,clear,OP1007,expert,EXC007,1.0,28.2,35.5,2026-06-03 13:39:57.428470
T141,excavation,zone_d,181.1,121,clear,OP1003,expert,EXC008,6.2,60.5,49.4,2026-06-03 07:00:00.000000
T142,loading,zone_d,90.7,61,clear,OP1007,expert,EXC008,6.2,30.5,60.9,2026-06-03 07:58:06.687983
T143,trenching,zone_d,98.5,66,rain,OP1015,intermediate,EXC008,6.2,38.1,42.0,2026-06-03 09:07:55.712439
T144,loading,zone_d,56.7,38,rain,OP1012,expert,EXC008,6.2,22.2,44.6,2026-06-03 09:56:07.047200
T145,grading,zone_d,91.0,61,clear,OP1010,intermediate,EXC008,6.2,30.9,37.1,2026-06-03 10:53:15.689129
T146,hauling,zone_a,76.1,51,rain,OP1019,expert,EXC001,5.5,29.5,46.9,2026-06-04 07:00:00.000000
T147,hauling,zone_a,80.3,54,rain,OP1003,expert,EXC001,5.5,31.9,41.3,2026-06-04 07:52:29.260800
T148,trenching,zone_a,69.1,47,clear,OP1007,expert,EXC001,5.5,23.5,28.9,2026-06-04 08:42:41.884077
T149,hauling,zone_a,75.4,51,cloudy,OP1008,expert,EXC001,5.5,26.3,61.6,2026-06-04 09:22:34.912878
T150,loading,zone_a,109.2,73,cloudy,OP1009,novice,EXC001,5.5,37.6,79.0,2026-06-04 10:38:11.946166
T151,loading,zone_a,110.2,74,clear,OP1006,expert,EXC001,5.5,37.8,51.9,2026-06-04 12:05:26.381926
T152,hauling,zone_a,54.2,37,cloudy,OP1003,expert,EXC001,5.5,19.7,43.0,2026-06-04 13:11:09.836923
T153,hauling,zone_b,68.2,46,rain,OP1007,expert,EXC002,7.7,26.8,47.6,2026-06-04 07:00:00.000000
T154,hauling,zone_b,66.9,45,rain,OP1004,intermediate,EXC002,7.7,26.1,61.0,2026-06-04 07:56:56.296524
T155,hauling,zone_b,72.5,49,cloudy,OP1009,novice,EXC002,7.7,25.2,64.7,2026-06-04 09:09:55.253900
T156,hauling,zone_b,67.3,45,cloudy,OP1004,intermediate,EXC002,7.7,23.2,66.1,2026-06-04 10:24:30.147257
T157,hauling,zone_b,88.8,60,clear,OP1013,intermediate,EXC002,7.7,30.7,62.5,2026-06-04 11:38:17.664929
T158,hauling,zone_c,78.9,53,rain,OP1017,intermediate,EXC003,7.2,31.2,70.9,2026-06-04 07:00:00.000000
T159,excavation,zone_c,107.9,72,clear,OP1002,intermediate,EXC003,7.2,36.0,45.4,2026-06-04 08:21:47.137887
T160,hauling,zone_c,78.1,53,cloudy,OP1007,expert,EXC003,7.2,27.3,41.0,2026-06-04 09:20:59.047309
T161,loading,zone_c,45.5,31,cloudy,OP1013,intermediate,EXC003,7.2,16.0,47.9,2026-06-04 10:13:45.168276
T162,loading,zone_c,108.4,73,clear,OP1017,intermediate,EXC003,7.2,37.3,60.2,2026-06-04 11:13:30.329116
T163,loading,zone_c,105.4,71,clear,OP1004,intermediate,EXC003,7.2,36.2,77.3,2026-06-04 12:26:27.977665
T164,loading,zone_d,110.0,74,rain,OP1007,expert,EXC004,8.0,43.0,56.9,2026-06-04 07:00:00.000000
T165,excavation,zone_d,201.7,135,clear,OP1018,novice,EXC004,8.0,67.5,97.5,2026-06-04 08:07:32.579473
T166,loading,zone_d,92.0,62,cloudy,OP1003,expert,EXC004,8.0,31.9,60.2,2026-06-04 09:51:59.849807
T167,grading,zone_d,139.6,94,clear,OP1014,expert,EXC004,8.0,48.2,51.9,2026-06-04 11:04:54.751796
T168,grading,zone_d,125.1,84,clear,OP1019,expert,EXC004,8.0,42.5,50.3,2026-06-04 12:09:35.013827
T169,excavation,zone_d,139.5,93,cloudy,OP1019,expert,EXC004,8.0,48.7,48.9,2026-06-04 13:14:28.623262
T170,grading,zone_a,140.5,94,rain,OP1006,expert,EXC005,1.5,54.6,51.0,2026-06-04 07:00:00.000000
T171,grading,zone_a,129.9,87,clear,OP1004,intermediate,EXC005,1.5,43.5,50.6,2026-06-04 08:02:44.279700
T172,grading,zone_a,80.7,54,cloudy,OP1003,expert,EXC005,1.5,27.8,29.8,2026-06-04 09:04:02.760882
T173,trenching,zone_a,104.5,70,cloudy,OP1017,intermediate,EXC005,1.5,36.1,41.1,2026-06-04 09:44:50.328464
T174,loading,zone_a,57.3,39,cloudy,OP1008,expert,EXC005,1.5,20.1,50.7,2026-06-04 10:37:36.263320
T175,hauling,zone_a,49.1,33,clear,OP1013,intermediate,EXC005,1.5,16.9,43.0,2026-06-04 11:40:52.821457
T176,hauling,zone_b,79.7,54,rain,OP1019,expert,EXC006,5.3,31.3,49.4,2026-06-04 07:00:00.000000
T177,grading,zone_b,65.7,44,rain,OP1020,intermediate,EXC006,5.3,25.7,30.2,2026-06-04 07:57:03.207249
T178,excavation,zone_b,134.7,90,clear,OP1020,intermediate,EXC006,5.3,45.0,49.8,2026-06-04 08:41:40.002691
T179,grading,zone_b,91.4,61,cloudy,OP1001,expert,EXC006,5.3,31.4,37.5,2026-06-04 09:46:23.447640
T180,excavation,zone_b,196.0,131,cloudy,OP1020,intermediate,EXC006,5.3,67.5,69.3,2026-06-04 10:35:42.969407
T181,grading,zone_c,108.3,73,rain,OP1019,expert,EXC007,1.0,42.3,46.6,2026-06-04 07:00:00.000000
T182,hauling,zone_c,67.5,45,rain,OP1005,novice,EXC007,1.0,26.0,62.0,2026-06-04 07:59:36.974641
T183,excavation,zone_c,84.5,57,cloudy,OP1001,expert,EXC007,1.0,29.4,30.2,2026-06-04 09:16:21.869965
T184,loading,zone_c,76.4,51,cloudy,OP1015,intermediate,EXC007,1.0,26.3,51.9,2026-06-04 09:54:34.175131
T185,hauling,zone_c,74.4,50,clear,OP1012,expert,EXC007,1.0,25.5,40.1,2026-06-04 11:00:48.298624
T186,grading,zone_c,99.2,67,clear,OP1011,intermediate,EXC007,1.0,34.3,38.3,2026-06-04 11:54:08.472357
T187,excavation,zone_d,172.1,115,rain,OP1020,intermediate,EXC008,6.2,67.3,67.0,2026-06-04 07:00:00.000000
T188,grading,zone_d,93.3,63,clear,OP1019,expert,EXC008,6.2,31.5,36.6,2026-06-04 08:20:14.865137
T189,hauling,zone_d,84.3,57,cloudy,OP1018,novice,EXC008,6.2,29.4,81.7,2026-06-04 09:06:45.049982
T190,hauling,zone_d,76.9,52,cloudy,OP1006,expert,EXC008,6.2,26.8,67.7,2026-06-04 10:36:12.558371
T191,loading,zone_d,118.8,80,clear,OP1016,novice,EXC008,6.2,40.9,88.0,2026-06-04 11:52:54.449881
T192,excavation,zone_a,82.1,55,cloudy,OP1007,expert,EXC001,5.5,28.3,28.1,2026-06-05 07:00:00.000000
T193,trenching,zone_a,101.9,68,cloudy,OP1010,intermediate,EXC001,5.5,35.0,49.0,2026-06-05 07:34:15.053619
T194,hauling,zone_a,55.9,38,clear,OP1014,expert,EXC001,5.5,19.0,62.8,2026-06-05 08:29:49.621101
T195,trenching,zone_a,94.7,64,cloudy,OP1009,novice,EXC001,5.5,33.0,48.5,2026-06-05 09:40:03.376172
T196,grading,zone_a,64.8,44,cloudy,OP1013,intermediate,EXC001,5.5,22.7,30.3,2026-06-05 10:41:18.901946
T197,hauling,zone_a,35.2,24,rain,OP1001,expert,EXC001,5.5,13.9,39.5,2026-06-05 11:23:28.759254
T198,loading,zone_b,82.4,55,cloudy,OP1003,expert,EXC002,7.7,28.3,62.0,2026-06-05 07:00:00.000000
T199,hauling,zone_b,31.2,21,clear,OP1012,expert,EXC002,7.7,10.5,48.5,2026-06-05 08:13:50.534186
T200,grading,zone_b,68.5,46,cloudy,OP1012,expert,EXC002,7.7,23.7,29.5,2026-06-05 09:14:19.294631
T201,loading,zone_b,73.8,50,cloudy,OP1011,intermediate,EXC002,7.7,25.8,68.0,2026-06-05 09:56:48.345544
T202,trenching,zone_b,100.3,67,rain,OP1010,intermediate,EXC002,7.7,39.5,52.1,2026-06-05 11:18:32.519936
T203,grading,zone_b,138.7,93,clear,OP1011,intermediate,EXC002,7.7,46.5,53.6,2026-06-05 12:24:35.634126
T204,loading,zone_b,102.3,69,clear,OP1011,intermediate,EXC002,7.7,34.7,65.2,2026-06-05 13:23:13.824530
T205,loading,zone_b,90.0,60,cloudy,OP1014,expert,EXC002,7.7,30.9,70.2,2026-06-05 14:42:38.832634
T206,trenching,zone_c,108.9,73,cloudy,OP1019,expert,EXC003,7.2,37.6,42.0,2026-06-05 07:00:00.000000
T207,hauling,zone_c,74.1,50,cloudy,OP1007,expert,EXC003,7.2,25.8,42.6,2026-06-05 07:49:42.522911
T208,trenching,zone_c,69.2,47,clear,OP1006,expert,EXC003,7.2,23.5,29.7,2026-06-05 08:43:46.327116
T209,trenching,zone_c,60.9,41,cloudy,OP1005,novice,EXC003,7.2,21.1,43.1,2026-06-05 09:21:57.330986
T210,excavation,zone_c,212.3,142,cloudy,OP1018,novice,EXC003,7.2,73.1,100.5,2026-06-05 10:13:28.047795
T211,excavation,zone_d,146.5,98,cloudy,OP1015,intermediate,EXC004,8.0,50.5,57.9,2026-06-05 07:00:00.000000
T212,loading,zone_d,45.4,31,clear,OP1014,expert,EXC004,8.0,15.5,38.9,2026-06-05 08:08:41.881676
T213,hauling,zone_d,54.3,37,clear,OP1006,expert,EXC004,8.0,18.5,51.4,2026-06-05 08:59:15.074611
T214,trenching,zone_d,58.1,39,cloudy,OP1005,novice,EXC004,8.0,20.1,41.6,2026-06-05 09:59:02.642711
T215,trenching,zone_d,127.0,85,cloudy,OP1010,intermediate,EXC004,8.0,43.8,53.1,2026-06-05 10:54:55.339799
T216,trenching,zone_d,52.2,35,rain,OP1013,intermediate,EXC004,8.0,20.7,31.7,2026-06-05 11:59:29.879804
T217,hauling,zone_a,79.9,54,cloudy,OP1006,expert,EXC005,1.5,27.8,70.9,2026-06-05 07:00:00.000000
T218,trenching,zone_a,100.4,67,clear,OP1018,novice,EXC005,1.5,33.5,48.3,2026-06-05 08:19:36.694622
T219,hauling,zone_a,81.0,54,cloudy,OP1020,intermediate,EXC005,1.5,27.8,46.8,2026-06-05 09:20:58.696221
T220,grading,zone_a,63.7,43,cloudy,OP1003,expert,EXC005,1.5,22.1,23.9,2026-06-05 10:15:44.535070
