near_miss_id,timestamp,worker_id,machine_id,task_id,distance_m
NM0058,2026-06-19 13:26:59.426839,W003,EXC002,T851,2.15
NM0059,2026-06-19 14:26:59.426839,W003,EXC002,T851,1.29
NM0060,2026-06-19 07:20:00.000000,W002,EXC003,T852,2.46
NM0061,2026-06-19 09:08:22.880504,W005,EXC006,T873,0.69
NM0062,2026-06-19 09:05:49.163257,W003,EXC008,T883,2.84
NM0063,2026-06-20 10:10:44.477825,W001,EXC001,T890,3.37
NM0064,2026-06-20 12:08:20.912832,W006,EXC004,T910,3.26
NM0065,2026-06-20 12:34:30.641383,W003,EXC008,T935,1.91
NM0066,2026-06-20 14:43:39.068646,W002,EXC008,T937,5.58
NM0067,2026-06-22 07:58:42.664069,W001,EXC002,T997,1.81
NM0068,2026-06-22 12:39:25.413367,W003,EXC003,T1008,2.06
NM0069,2026-06-22 09:29:41.070174,W003,EXC007,T1027,2.73
NM0070,2026-06-23 13:01:30.353454,W006,EXC002,T1044,1.28
NM0071,2026-06-23 14:21:30.353454,W002,EXC002,T1044,1.49
NM0072,2026-06-23 14:31:30.353454,W003,EXC002,T1044,0.63
NM0073,2026-06-23 10:12:28.328358,W006,EXC004,T1054,1.75
NM0074,2026-06-23 13:04:16.031390,W006,EXC007,T1073,3.22
NM0075,2026-06-24 12:02:56.379387,W006,EXC002,T1090,3.33
NM0076,2026-06-24 07:10:00.000000,W001,EXC004,T1098,4.4
NM0077,2026-06-24 13:22:12.933629,W001,EXC004,T1103,1.91
NM0078,2026-06-24 10:07:46.813565,W006,EXC006,T1116,1.43
NM0079,2026-06-25 08:10:00.000000,W001,EXC003,T1140,2.56
NM0080,2026-06-25 09:06:05.704482,W005,EXC004,T1147,0.91
NM0081,2026-06-25 15:02:13.734782,W001,EXC004,T1151,2.38
NM0082,2026-06-26 12:13:12.767517,W003,EXC001,T1179,1.61
NM0083,2026-06-26 10:56:11.727412,W001,EXC002,T1184,0.98
NM0084,2026-06-26 07:20:00.000000,W002,EXC006,T1212,0.68
NM0085,2026-06-26 08:20:22.945779,W002,EXC006,T1213,2.13
NM0086,2026-06-26 14:20:16.072292,W006,EXC007,T1224,1.73
NM0087,2026-06-27 11:37:33.740715,W001,EXC002,T1241,4.21
NM0088,2026-06-27 08:59:20.427386,W004,EXC003,T1247,3.25
NM0089,2026-06-27 08:16:57.426210,W006,EXC005,T1257,1.13
NM0090,2026-06-27 12:19:02.151545,W004,EXC006,T1266,3.97
NM0091,2026-06-27 11:45:39.306477,W003,EXC007,T1271,2.13
NM0092,2026-06-27 13:00:52.232589,W005,EXC007,T1272,0.7
NM0093,2026-06-28 07:00:00.000000,W006,EXC003,T1290,3.14
NM0094,2026-06-28 11:24:27.165810,W006,EXC004,T1299,0.73
NM0095,2026-06-29 14:30:07.670191,W006,EXC001,T1331,1.6
NM0096,2026-06-29 11:26:51.363385,W005,EXC002,T1334,0.63
NM0097,2026-06-29 10:49:41.660430,W002,EXC008,T1367,2.05
NM0098,2026-06-30 09:36:24.860389,W006,EXC003,T1382,2.37
NM0099,2026-06-30 07:40:00.000000,W006,EXC005,T1388,6.31
NM0100,2026-06-30 12:06:00.878548,W004,EXC007,T1404,1.45
NM0101,2026-06-30 10:07:41.801611,W004,EXC008,T1408,0.19
NM0102,2026-06-30 11:43:33.300397,W002,EXC008,T1409,2.36
NM0103,2026-07-01 13:19:58.727749,W003,EXC002,T1420,0.81
NM0104,2026-07-01 13:25:58.957943,W005,EXC008,T1459,3.38
NM0105,2026-07-02 08:20:33.332350,W001,EXC006,T1489,4.83
NM0106,2026-07-02 10:35:02.623968,W001,EXC006,T1490,4.51
NM0107,2026-07-02 12:02:58.476919,W004,EXC006,T1492,4.2
NM0108,2026-07-02 09:23:57.658084,W001,EXC008,T1500,0.92
NM0109,2026-07-02 13:21:50.882407,W002,EXC008,T1503,3.62
NM0110,2026-07-03 11:42:29.655154,W004,EXC002,T1510,4.24
NM0111,2026-07-03 12:12:02.109290,W002,EXC003,T1518,1.58
NM0112,2026-07-03 08:25:51.507738,W002,EXC004,T1522,0.68
NM0113,2026-07-04 15:15:38.030753,W004,EXC002,T1558,3.73
NM0114,2026-07-04 14:25:28.390618,W002,EXC006,T1581,2.98
NM0115,2026-07-04 15:17:09.173164,W003,EXC007,T1590,4.43
NM0116,2026-07-04 14:50:13.507008,W004,EXC008,T1599,0.97
NM0117,2026-07-05 08:30:00.000000,W002,EXC002,T1607,3.09
NM0118,2026-07-06 07:20:00.000000,W002,EXC001,T1650,2.96
NM0119,2026-07-06 07:40:00.000000,W004,EXC001,T1650,0.48
NM0120,2026-07-06 13:19:27.910429,W002,EXC002,T1658,2.41
NM0121,2026-07-06 11:33:57.053841,W004,EXC003,T1664,1.38
NM0122,2026-07-06 07:50:00.000000,W003,EXC004,T1666,2.18
NM0123,2026-07-06 13:00:50.626207,W002,EXC004,T1670,2.75
NM0124,2026-07-07 10:53:45.640026,W004,EXC001,T1701,0.66
NM0125,2026-07-07 08:10:00.000000,W002,EXC002,T1705,3.11
NM0126,2026-07-07 08:09:52.624133,W006,EXC003,T1710,0.68
NM0127,2026-07-07 11:52:08.936066,W001,EXC005,T1724,2.31
NM0128,2026-07-07 08:28:21.547187,W002,EXC008,T1741,2.05
NM0129,2026-07-08 07:40:00.000000,W004,EXC002,T1752,1.17
NM0130,2026-07-08 09:04:00.911751,W001,EXC002,T1753,1.64
NM0131,2026-07-08 13:53:30.064187,W001,EXC002,T1755,5.91
NM0132,2026-07-08 07:50:00.000000,W005,EXC003,T1758,3.24
NM0133,2026-07-08 15:15:02.079060,W002,EXC006,T1783,1.74
NM0134,2026-07-08 10:34:36.267081,W001,EXC007,T1787,3.04
NM0135,2026-07-09 10:59:31.597402,W002,EXC001,T1798,3.85
NM0136,2026-07-09 09:41:46.720222,W003,EXC003,T1807,3.85
NM0137,2026-07-09 10:23:32.113476,W003,EXC003,T1808,1.22
NM0138,2026-07-09 08:03:01.274653,W005,EXC004,T1811,2.52
NM0139,2026-07-09 08:13:01.274653,W006,EXC004,T1811,1.42
NM0140,2026-07-09 13:50:32.302043,W001,EXC004,T1815,3.67
NM0141,2026-07-09 08:15:28.201042,W003,EXC005,T1819,0.61
NM0142,2026-07-10 11:22:55.126683,W006,EXC002,T1852,3.15
NM0143,2026-07-10 08:43:43.749002,W004,EXC004,T1863,0.47
NM0144,2026-07-10 11:55:01.751939,W006,EXC005,T1870,1.37
NM0145,2026-07-10 07:46:28.522839,W004,EXC007,T1882,1.93
NM0146,2026-07-10 12:19:47.646968,W001,EXC007,T1884,1.25
NM0147,2026-07-11 11:36:16.601079,W006,EXC001,T1896,2.66
NM0148,2026-07-11 08:00:00.000000,W005,EXC005,T1919,1.14
NM0149,2026-07-11 10:18:42.871125,W001,EXC005,T1921,3.12
NM0150,2026-07-11 12:47:17.074226,W002,EXC007,T1937,4.31
NM0151,2026-07-11 07:00:00.000000,W003,EXC008,T1941,2.14
NM0152,2026-07-11 08:17:14.767526,W005,EXC008,T1942,3.06
NM0153,2026-07-11 10:44:22.227982,W006,EXC008,T1944,1.94
NM0154,2026-07-12 08:17:17.017060,W004,EXC002,T1954,2.45
NM0155,2026-07-12 08:47:17.017060,W001,EXC002,T1954,3.68
NM0156,2026-07-12 07:40:00.000000,W006,EXC003,T1958,1.4
NM0157,2026-07-12 08:23:36.440743,W003,EXC003,T1959,2.91
NM0158,2026-07-12 11:32:56.807121,W003,EXC003,T1960,2.29
NM0159,2026-07-12 07:40:00.000000,W005,EXC004,T1963,1.01
NM0160,2026-07-12 08:42:11.971536,W005,EXC004,T1964,0.58
NM0161,2026-07-12 08:49:24.054139,W006,EXC006,T1977,3.7
NM0162,2026-07-13 08:49:57.239709,W005,EXC001,T1993,2.07
NM0163,2026-07-13 13:38:24.296932,W005,EXC003,T2011,2.5
NM0164,2026-07-13 11:19:24.918619,W001,EXC004,T2015,2.22
NM0165,2026-07-13 12:07:54.262413,W006,EXC007,T2034,3.25
NM0166,2026-07-14 07:20:00.000000,W002,EXC001,T2040,2.15
NM0167,2026-07-14 07:47:51.528638,W003,EXC003,T2049,1.57
NM0168,2026-07-14 07:30:00.000000,W004,EXC004,T2053,2.48
NM0169,2026-07-14 12:31:19.747157,W003,EXC004,T2057,2.11
NM0170,2026-07-14 07:40:00.000000,W002,EXC007,T2068,1.51
NM0171,2026-07-14 14:57:22.139122,W006,EXC008,T2078,3.2
NM0172,2026-07-15 07:40:00.000000,W002,EXC001,T2080,1.98
NM0173,2026-07-15 11:59:48.426320,W002,EXC002,T2089,2.92
NM0174,2026-07-15 08:53:31.029018,W002,EXC004,T2099,1.62
NM0175,2026-07-15 13:15:25.721461,W004,EXC004,T2103,0.25
NM0176,2026-07-15 09:36:48.171259,W004,EXC005,T2106,4.16
NM0177,2026-07-15 10:49:56.947976,W006,EXC007,T2116,6.56
NM0178,2026-07-15 13:14:24.678402,W004,EXC008,T2122,2.57
NM0179,2026-07-16 11:27:10.171153,W005,EXC001,T2126,1.69
NM0180,2026-07-16 11:37:10.171153,W006,EXC001,T2126,4.56
NM0181,2026-07-16 16:45:53.220381,W006,EXC002,T2133,6.19
NM0182,2026-07-16 07:50:00.000000,W002,EXC008,T2163,0.85
NM0183,2026-07-17 09:02:31.763213,W003,EXC001,T2169,1.44
NM0184,2026-07-17 10:51:10.828764,W006,EXC002,T2172,2.46
NM0185,2026-07-17 08:50:54.273807,W005,EXC005,T2191,2.55
NM0186,2026-07-17 09:44:27.812444,W004,EXC005,T2192,4.66
NM0187,2026-07-17 11:47:49.350043,W001,EXC006,T2197,1.14
NM0188,2026-07-17 07:40:00.000000,W001,EXC007,T2199,1.94
NM0189,2026-07-17 11:21:10.793644,W005,EXC008,T2209,1.25
NM0190,2026-07-17 16:28:27.789148,W004,EXC008,T2212,2.13
NM0191,2026-07-18 10:47:40.839994,W005,EXC001,T2216,0.8
NM0192,2026-07-18 11:56:19.134077,W002,EXC002,T2221,0.69
NM0193,2026-07-18 14:16:19.134077,W004,EXC002,T2221,1.87
NM0194,2026-07-18 11:31:36.820502,W006,EXC003,T2226,1.41
NM0195,2026-07-18 08:37:30.128861,W003,EXC004,T2232,3.23
NM0196,2026-07-18 07:00:00.000000,W006,EXC006,T2244,2.46
NM0197,2026-07-18 10:34:54.712626,W004,EXC006,T2246,1.66
NM0198,2026-07-18 08:37:22.477406,W003,EXC007,T2251,2.31
NM0199,2026-07-18 10:59:19.435723,W005,EXC007,T2253,3.29
NM0200,2026-07-19 07:50:00.000000,W004,EXC001,T2261,4.06
NM0201,2026-07-19 08:20:00.000000,W005,EXC002,T2265,2.22
NM0202,2026-07-19 13:49:00.314943,W002,EXC002,T2267,2.57
NM0203,2026-07-19 15:15:14.974030,W005,EXC006,T2288,2.59
NM0204,2026-07-20 07:40:00.000000,W003,EXC001,T2303,2.63
NM0205,2026-07-20 13:21:09.188112,W005,EXC002,T2314,2.49
NM0206,2026-07-21 09:17:03.104564,W005,EXC006,T2378,2.78
NM0207,2026-07-21 10:31:59.843291,W005,EXC007,T2384,2.32
NM0208,2026-07-21 08:09:37.033785,W005,EXC008,T2387,1.22
NM0209,2026-07-22 10:55:36.903278,W003,EXC001,T2397,2.58
NM0210,2026-07-22 07:20:00.000000,W002,EXC008,T2442,3.25
NM0211,2026-07-23 08:05:39.953455,W004,EXC001,T2451,2.23
NM0212,2026-07-23 11:44:56.417224,W002,EXC002,T2457,2.6
NM0213,2026-07-23 14:41:09.354087,W004,EXC002,T2458,3.29
NM0214,2026-07-23 08:10:00.000000,W003,EXC004,T2468,1.3
NM0215,2026-07-23 14:46:15.488858,W006,EXC004,T2473,0.37
NM0216,2026-07-23 12:30:20.815293,W004,EXC005,T2479,1.41
NM0217,2026-07-23 11:07:55.705894,W005,EXC006,T2482,1.44
NM0218,2026-07-23 07:56:11.127841,W002,EXC007,T2485,5.28
NM0219,2026-07-23 11:12:40.045031,W006,EXC007,T2488,2.87
NM0220,2026-07-23 11:32:40.045031,W002,EXC007,T2488,1.36
NM0221,2026-07-24 07:10:00.000000,W006,EXC002,T2501,4.37
NM0222,2026-07-24 13:08:02.735909,W006,EXC002,T2502,1.95
NM0223,2026-07-24 11:44:25.106163,W005,EXC005,T2519,2.81
NM0224,2026-07-24 09:15:03.555969,W006,EXC006,T2522,3.8
NM0225,2026-07-24 08:52:50.860569,W005,EXC007,T2529,2.83
NM0226,2026-07-24 17:19:41.103860,W005,EXC007,T2535,2.48
NM0227,2026-07-25 07:10:00.000000,W004,EXC005,T2565,1.27
NM0228,2026-07-25 07:49:25.307476,W003,EXC006,T2571,2.31
NM0229,2026-07-25 16:55:58.328005,W001,EXC007,T2581,1.33
NM0230,2026-07-26 13:08:25.604142,W003,EXC002,T2597,1.55
NM0231,2026-07-26 07:00:00.000000,W005,EXC006,T2615,2.29
NM0232,2026-07-26 12:09:18.506744,W006,EXC006,T2618,1.18
NM0233,2026-07-26 14:16:26.358387,W006,EXC006,T2619,2.5
NM0234,2026-07-26 11:45:04.154700,W003,EXC007,T2625,1.93
NM0235,2026-07-26 09:24:04.107665,W005,EXC008,T2627,5.58
NM0236,2026-07-27 15:18:04.194157,W002,EXC002,T2639,2.64
NM0237,2026-07-27 07:50:00.000000,W006,EXC003,T2641,1.02
NM0238,2026-07-27 09:01:07.862508,W005,EXC005,T2655,1.55
NM0239,2026-07-27 11:12:28.170615,W005,EXC005,T2656,2.12
NM0240,2026-07-27 14:03:32.816814,W002,EXC006,T2663,2.9
NM0241,2026-07-27 13:37:09.571674,W002,EXC008,T2679,4.79
NM0242,2026-07-28 12:47:29.560070,W004,EXC006,T2718,2.29
NM0243,2026-07-28 08:46:59.321328,W002,EXC008,T2727,3.1
NM0244,2026-07-28 09:36:59.321328,W001,EXC008,T2727,1.33
NM0245,2026-07-29 12:57:49.369388,W004,EXC002,T2740,2.89
NM0246,2026-07-29 09:17:07.425943,W006,EXC004,T2748,4.25
NM0247,2026-07-29 13:53:02.372725,W003,EXC004,T2751,1.83
NM0248,2026-07-29 07:50:00.000000,W005,EXC006,T2760,2.71
NM0249,2026-07-29 10:31:46.065513,W006,EXC007,T2767,3.61
NM0250,2026-07-30 08:42:36.251947,W002,EXC005,T2797,3.8
NM0251,2026-07-30 08:58:33.460741,W003,EXC006,T2804,2.77
NM0252,2026-07-30 16:31:33.877902,W006,EXC006,T2809,3.49
NM0253,2026-07-30 14:36:21.703285,W003,EXC007,T2816,2.13
NM0254,2026-07-30 13:56:11.831299,W003,EXC008,T2822,1.26
